"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007/2008","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","13901","","","","0"
"2008/2009","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","14360","","","","0"
"2009/2010","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","15173","","","","0"
"2010/2011","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","17665","","","","0"
"2011/2012","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","17220","","","","0"
"2012/2013","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","17537","","","","0"
"2013/2014","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","18314","","","","0"
"2014/2015","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","18960","","","","0"
"2015/2016","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","19619","","","","0"
"2016/2017","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","21387","","","","0"
"2017/2018","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","22190","","","","0"
"2018/2019","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","23808","","","","0"
"2019/2020","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","24408","","","","0"
"2020/2021","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","26472","","","","0"
"2021/2022","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","26969","","","","0"
"2022/2023","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","26213","","","","0"
"2023/2024","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","27239","","","","0"
"2007/2008","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","28132","","","","0"
"2008/2009","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","31203","","","","0"
"2009/2010","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","29673","","","","0"
"2010/2011","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","34567","","","","0"
"2011/2012","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","37187","","","","0"
"2012/2013","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","41346","","","","0"
"2013/2014","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","43363","","","","0"
"2014/2015","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","35945","","","","0"
"2015/2016","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","39629","","","","0"
"2016/2017","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","51597","","","","0"
"2017/2018","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","47930","","","","0"
"2018/2019","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","67657","","","","0"
"2019/2020","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","55424","","","","0"
"2020/2021","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","63005","","","","0"
"2021/2022","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","75099","","","","0"
"2022/2023","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","67483","","","","0"
"2023/2024","Canada","2016A000011124","Executive MBA","Current dollars","75","units","0","v62427776","1.7","68224","","","","0"
"2007/2008","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","23751","","","","0"
"2008/2009","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","26239","","","","0"
"2009/2010","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","27003","","","","0"
"2010/2011","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","25725","","","","0"
"2011/2012","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","28737","","","","0"
"2012/2013","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","29817","","","","0"
"2013/2014","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","30188","","","","0"
"2014/2015","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","32767","","","","0"
"2015/2016","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","33190","","","","0"
"2016/2017","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","34644","","","","0"
"2017/2018","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","36797","","","","0"
"2018/2019","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","38406","","","","0"
"2019/2020","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","38668","","","","0"
"2020/2021","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","39674","","","","0"
"2021/2022","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","40238","","","","0"
"2022/2023","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","42241","","","","0"
"2023/2024","Canada","2016A000011124","Regular MBA","Current dollars","75","units","0","v62427777","1.8","43755","","","","0"
"2006/2007","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","9141","","","","0"
"2007/2008","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","9502","","","","0"
"2008/2009","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","10207","","","","0"
"2009/2010","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","11177","","","","0"
"2010/2011","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","11985","","","","0"
"2011/2012","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","12152","","","","0"
"2012/2013","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","12237","","","","0"
"2013/2014","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","12556","","","","0"
"2014/2015","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","12978","","","","0"
"2015/2016","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","13393","","","","0"
"2016/2017","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","13816","","","","0"
"2017/2018","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","14624","","","","0"
"2018/2019","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","14910","","","","0"
"2019/2020","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","15125","","","","0"
"2020/2021","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","16030","","","","0"
"2021/2022","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","16671","","","","0"
"2022/2023","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","17466","","","","0"
"2023/2024","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427778","1.9","18025","","","","0"
"2006/2007","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","9166","","","","0"
"2007/2008","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","9672","","","","0"
"2008/2009","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","9680","","","","0"
"2009/2010","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","10922","","","","0"
"2010/2011","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","11749","","","","0"
"2011/2012","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","12079","","","","0"
"2012/2013","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","11733","","","","0"
"2013/2014","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","12099","","","","0"
"2014/2015","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","12479","","","","0"
"2015/2016","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","12799","","","","0"
"2016/2017","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","14311","","","","0"
"2017/2018","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","15245","","","","0"
"2018/2019","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","16114","","","","0"
"2019/2020","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","17441","","","","0"
"2020/2021","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","18406","","","","0"
"2021/2022","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","19239","","","","0"
"2022/2023","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","20338","","","","0"
"2023/2024","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427761","1.10","21163","","","","0"
"2006/2007","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","10566","","","","0"
"2007/2008","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","11103","","","","0"
"2008/2009","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","10630","","","","0"
"2009/2010","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","12375","","","","0"
"2010/2011","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","13141","","","","0"
"2011/2012","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","13297","","","","0"
"2012/2013","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","13806","","","","0"
"2013/2014","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","14041","","","","0"
"2014/2015","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","14534","","","","0"
"2015/2016","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","15281","","","","0"
"2016/2017","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","16299","","","","0"
"2017/2018","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","17465","","","","0"
"2018/2019","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","18236","","","","0"
"2019/2020","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","19736","","","","0"
"2020/2021","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","21717","","","","0"
"2021/2022","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","22405","","","","0"
"2022/2023","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","23984","","","","0"
"2023/2024","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427762","1.11","25137","","","","0"
"2006/2007","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","10927","","","","0"
"2007/2008","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","11475","","","","0"
"2008/2009","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","12050","","","","0"
"2009/2010","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","12473","","","","0"
"2010/2011","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","13127","","","","0"
"2011/2012","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","13453","","","","0"
"2012/2013","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","14534","","","","0"
"2013/2014","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","15796","","","","0"
"2014/2015","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","16133","","","","0"
"2015/2016","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","17240","","","","0"
"2016/2017","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","20556","","","","0"
"2017/2018","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","22383","","","","0"
"2018/2019","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","23082","","","","0"
"2019/2020","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","24951","","","","0"
"2020/2021","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","25011","","","","0"
"2021/2022","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","26425","","","","0"
"2022/2023","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","26072","","","","0"
"2023/2024","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427763","1.12","27575","","","","0"
"2006/2007","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","7939","","","","0"
"2007/2008","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","10681","","","","0"
"2008/2009","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","10833","","","","0"
"2009/2010","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","10868","","","","0"
"2010/2011","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","11215","","","","0"
"2011/2012","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","11515","","","","0"
"2012/2013","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","11311","","","","0"
"2013/2014","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","11370","","","","0"
"2014/2015","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","11772","","","","0"
"2015/2016","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427764","1.13","12135","","","","0"
